,open,high,low,close,volume
2023-05-29,0.90501,0.9062,0.9026,0.90389,0
2023-05-30,0.90364,0.90841,0.9013,0.90575,0
2023-05-31,0.90563,0.91476,0.90531,0.91024,0
2023-06-01,0.91014,0.91139,0.9049,0.9058,0
2023-06-02,0.90535,0.9092,0.9033,0.90866,0
2023-06-05,0.90795,0.91198,0.90465,0.9058,0
2023-06-06,0.90561,0.90981,0.9032,0.90749,0
2023-06-07,0.90752,0.9107,0.9041,0.90938,0
2023-06-08,0.90955,0.91076,0.898,0.89877,0
2023-06-09,0.89862,0.90392,0.8983,0.90272,0
2023-06-12,0.90266,0.91092,0.90153,0.9085,0
2023-06-13,0.90795,0.90894,0.90315,0.90503,0
2023-06-14,0.90481,0.90603,0.8965,0.90057,0
2023-06-15,0.90066,0.90562,0.8906,0.89152,0
2023-06-16,0.89151,0.89491,0.8901,0.89369,0
2023-06-19,0.89303,0.89748,0.89303,0.89557,0
2023-06-20,0.89556,0.90013,0.89498,0.89759,0
2023-06-21,0.89759,0.89978,0.89194,0.89284,0
2023-06-22,0.89282,0.8973,0.89059,0.89455,0
2023-06-23,0.8947,0.90133,0.89426,0.89641,0
2023-06-26,0.89594,0.89683,0.89113,0.89525,0
2023-06-27,0.89526,0.89704,0.89234,0.89323,0
2023-06-28,0.89305,0.89871,0.89277,0.89621,0
2023-06-29,0.89635,0.90018,0.89431,0.89903,0
2023-06-30,0.89918,0.9017,0.89349,0.89477,0
2023-07-03,0.89398,0.90042,0.89398,0.89608,0
2023-07-04,0.89617,0.89751,0.89453,0.89672,0
2023-07-05,0.89679,0.89947,0.8961,0.89819,0
2023-07-06,0.89819,0.89979,0.89463,0.89521,0
2023-07-07,0.89524,0.89702,0.8875,0.88778,0
2023-07-10,0.88816,0.89179,0.88468,0.8853,0
2023-07-11,0.8853,0.88568,0.87872,0.87918,0
2023-07-12,0.87919,0.8794,0.86569,0.86665,0
2023-07-13,0.86665,0.86732,0.85805,0.85876,0
2023-07-14,0.85845,0.86312,0.85656,0.8613,0
2023-07-17,0.86163,0.86307,0.8577,0.8601,0
2023-07-18,0.86,0.86071,0.85543,0.8577,0
2023-07-19,0.85754,0.86136,0.85665,0.85865,0
2023-07-20,0.85856,0.86842,0.85604,0.86584,0
2023-07-21,0.866,0.86725,0.8639,0.8654,0
2023-07-24,0.86469,0.86998,0.86372,0.86927,0
2023-07-25,0.86941,0.87004,0.86278,0.86335,0
2023-07-26,0.86332,0.86563,0.85963,0.86029,0
2023-07-27,0.86015,0.86985,0.85523,0.86862,0
2023-07-28,0.86869,0.87365,0.866,0.87005,0
2023-07-31,0.86898,0.87297,0.8664,0.8702,0
2023-08-01,0.87018,0.87778,0.87018,0.87182,0
2023-08-02,0.87174,0.88059,0.87155,0.8774,0
2023-08-03,0.87731,0.87986,0.87326,0.87415,0
2023-08-04,0.87398,0.87826,0.86989,0.87239,0
2023-08-07,0.87228,0.8774,0.87184,0.87251,0
2023-08-08,0.87282,0.8783,0.8718,0.87552,0
2023-08-09,0.87536,0.87827,0.873,0.8767,0
2023-08-10,0.87688,0.87766,0.86896,0.87577,0
2023-08-11,0.87643,0.87806,0.87338,0.876,0
2023-08-14,0.87603,0.8828,0.87538,0.878,0
2023-08-15,0.87789,0.87966,0.87438,0.87799,0
2023-08-16,0.87787,0.88144,0.87739,0.87976,0
2023-08-17,0.87958,0.88096,0.87596,0.87819,0
2023-08-18,0.87812,0.88279,0.87733,0.88098,0
2023-08-21,0.88131,0.8828,0.87773,0.8784,0
2023-08-22,0.87847,0.88092,0.87647,0.88019,0
2023-08-23,0.88016,0.88172,0.87667,0.87797,0
2023-08-24,0.87751,0.88513,0.8758,0.88392,0
2023-08-25,0.88405,0.88763,0.88209,0.88402,0
2023-08-28,0.88377,0.88537,0.88178,0.88345,0
2023-08-29,0.88344,0.8859,0.8772,0.87852,0
2023-08-30,0.87839,0.88035,0.87444,0.87797,0
2023-08-31,0.87826,0.8846,0.87708,0.88306,0
2023-09-01,0.88305,0.8864,0.87946,0.8849,0
2023-09-04,0.88538,0.8858,0.88306,0.88402,0
2023-09-05,0.88402,0.89031,0.88373,0.88897,0
2023-09-06,0.88895,0.89449,0.88807,0.89096,0
2023-09-07,0.8911,0.89403,0.8908,0.89231,0
2023-09-08,0.89243,0.89367,0.88946,0.8923,0
2023-09-11,0.89124,0.89263,0.88964,0.89071,0
2023-09-12,0.89062,0.89341,0.88958,0.89127,0
2023-09-13,0.89126,0.89525,0.89048,0.89343,0
2023-09-14,0.89342,0.89709,0.89142,0.89526,0
2023-09-15,0.89529,0.89776,0.89453,0.89766,0
2023-09-18,0.89661,0.89824,0.8952,0.89683,0
2023-09-19,0.89692,0.8984,0.8947,0.89725,0
2023-09-20,0.89732,0.89958,0.8931,0.89831,0
2023-09-21,0.89831,0.90783,0.89804,0.90407,0
2023-09-22,0.904,0.90752,0.9037,0.90633,0
2023-09-25,0.90669,0.91356,0.90591,0.91193,0
2023-09-26,0.91191,0.9159,0.91174,0.91553,0
2023-09-27,0.91543,0.92253,0.91481,0.9204,0
2023-09-28,0.92057,0.92167,0.91405,0.91492,0
2023-09-29,0.91492,0.91635,0.90907,0.91451,0
2023-10-02,0.91439,0.91945,0.91099,0.91775,0
2023-10-03,0.9179,0.9244,0.91731,0.92109,0
2023-10-04,0.92109,0.92323,0.91435,0.91656,0
2023-10-05,0.91664,0.9182,0.91159,0.91229,0
2023-10-06,0.91239,0.91756,0.90727,0.90948,0
2023-10-09,0.90932,0.91235,0.9048,0.90634,0
2023-10-10,0.90633,0.90828,0.90335,0.90444,0
2023-10-11,0.90428,0.90545,0.90013,0.9016,0
2023-10-12,0.90138,0.9088,0.89863,0.9079,0
2023-10-13,0.90784,0.9085,0.90017,0.90219,0
2023-10-16,0.90109,0.90422,0.89912,0.89969,0
2023-10-17,0.9,0.9032,0.89895,0.90013,0
2023-10-18,0.89997,0.90086,0.89539,0.89863,0
2023-10-19,0.89881,0.90017,0.89031,0.89088,0
2023-10-20,0.89083,0.89353,0.89019,0.89133,0
2023-10-23,0.89121,0.8957,0.89032,0.89094,0
2023-10-24,0.89088,0.89518,0.88878,0.89274,0
2023-10-25,0.89283,0.89693,0.89202,0.89652,0
2023-10-26,0.89651,0.90048,0.89594,0.89877,0
2023-10-27,0.8987,0.9035,0.89799,0.90217,0
2023-10-30,0.90105,0.90486,0.90072,0.90166,0
2023-10-31,0.90177,0.9106,0.90091,0.90987,0
2023-11-01,0.90978,0.91125,0.90621,0.9073,0
2023-11-02,0.90723,0.9078,0.90173,0.90582,0
2023-11-03,0.9057,0.9074,0.89648,0.89882,0
2023-11-06,0.8981,0.89962,0.89532,0.89933,0
2023-11-07,0.89927,0.90185,0.89807,0.89999,0
2023-11-08,0.89993,0.9024,0.89764,0.89925,0
2023-11-09,0.89909,0.90411,0.89786,0.90279,0
2023-11-10,0.903,0.90459,0.90017,0.90149,0
2023-11-13,0.90212,0.90522,0.90067,0.90158,0
2023-11-14,0.90141,0.90272,0.88793,0.88901,0
2023-11-15,0.8889,0.8903,0.88538,0.88796,0
2023-11-16,0.88788,0.89,0.88538,0.88871,0
2023-11-17,0.88855,0.8894,0.88497,0.88502,0
2023-11-20,0.88643,0.88653,0.88258,0.88498,0
2023-11-21,0.88491,0.885,0.88191,0.88357,0
2023-11-22,0.8835,0.88745,0.88198,0.88379,0
2023-11-23,0.88369,0.88496,0.88167,0.88389,0
2023-11-24,0.88389,0.88486,0.88045,0.88223,0
2023-11-27,0.882,0.8828,0.87933,0.88025,0
2023-11-28,0.88018,0.88189,0.87608,0.87804,0
2023-11-29,0.87805,0.87839,0.87197,0.87374,0
